file,status,before_yaml_tags,inline_tags,path_tags,after_tags
notes\MK\2025-07-02.md,updated,,,mk,mk
notes\MK\2025-08-29.md,updated,,,mk,mk
notes\MK\AI-idea\DeNAの「AIにオールイン」.md,updated,,,mk ai-idea,mk ai-idea
notes\MK\AI-idea\Gemini CLI.md,updated,,,mk ai-idea,mk ai-idea
notes\MK\ASMR\ASMR改良版プロンプト.md,updated,,,mk asmr,mk asmr
notes\MK\ASMR\ASMR改良版プロンプト用ハッシュタグ.md,updated,,"asmr glassfruit satisfying oddlysatisfying relaxingsounds 音フェチ ガラスの果物 癒し動画| tiktokasmr glassart slicing オレンジasmr 破壊音 心地よい| glasscutting satisfyingvideo fruitart ガラス細工 ブドウ asmr好きと繋がりたい| loopit""**| glassslice soothingvisuals レモンasmr 切断音 8秒ループ 無限ループ| watermelonasmr glassfruitloop 破壊と再生 果物ガラスアート 耳心地| kiwicut asmrglass 緑の果物 ガラスの快感 チル動画| shatterasmr fruitloop 可愛いけど壊れる ストロベリー動画 asmrlovers| glasspeach softcut asmr切断音 癒しの8秒 桃の世界| glasscrack asmr動画 パイナップル割ってみた ガラス切断| blueberryasmr glasspop 小さな果物 視覚快感 耳心地動画|",mk asmr,asmr glassfruit satisfying oddlysatisfying relaxingsounds
notes\MK\ASMR\SNSショート動画バズり徹底分析.md,updated,,,mk asmr,mk asmr
notes\MK\ASMR\tiktok asmrキャプション集.md,updated,,asmr satisfying fyp glassfruit oddlysatisfying 音フェチ 癒し動画 ガラスの果物 ループ動画 grape glasscut ぶどうasmr 破壊音 チル動画,mk asmr,asmr satisfying fyp glassfruit oddlysatisfying
notes\MK\ASMR\TikTok ASMR動画企画.md,updated,,音フェチ asmr satisfying aiart veo oddlysatisfying geode crystal asmrsounds 癒し 機械式時計 watchmaking steampunk mechanical asmrmechanics ファンタジー fantasy alchemy storytellingasmr ポーション slime fractal visualasmr スライム リラックス 職人技 blacksmith lava forging 飯テロ ではない bioluminescence nature relaxing 睡眠用bgm 書道 zen calligraphy meditation wabisabi 怖い話 horror haunted creepy ホラー 不気味 interactive どっち コメントで教えて 禅 zengarden minimalism 枯山水 瞑想 viral geodecutting 睡眠用 interactiveasmr 音フェチしてみた,mk asmr,音フェチ asmr satisfying aiart veo
notes\MK\ASMR\日本国内SNSトレンド分析レポート.md,updated,,"ナルトダンス|中国発のダンスチャレンジ。当初の音源からmrs 告白チャレンジ|illitの日本デビュー曲「almond 薬屋のひとりごと」を付けた動画の総再生回数は16億回を超え、49,000本以上の動画が投稿されています ナルトダンス ナルトダンスは、トレンドが静的なものではなく、常に進化し続けることを示す好例です 父の日|6月の主要な季節イベント。感謝のメッセージに加え、ユニクロが国民的アニメの父親キャラを起用するなど、企業の大型キャンペーンが活発化した 梅雨|天気、ファッション（ 梅雨コーデ）、食事、健康（天気痛対策）など、多岐にわたるトピックで語られる季節のキーワード。企業アカウントも積極的に活用 ツイマンガ|xのフォーマットに最適化された短編・連載漫画。恋愛、日常コメディ、社会風刺など多様なジャンルが存在し、根強い人気を誇る 恋人の日|6月12日の記念日。父の日や梅雨に比べ知名度は低いが、マクドナルドなどがユーモアを交えた投稿を行い、企業の活用事例が見られた 父の日 梅雨 父の日キャンペーンは、幅広い世代の共感を呼びました 梅雨というキーワードは、ファッション（ 梅雨コーデ）、食品（梅雨を乗り切るレシピ）、健康（気圧の変化による体調不良対策）など、多様な切り口で活用され、多くの企業が自社の商品やサービスと関連付けた情報発信を行っています ツイマンガ ツイマンガや 父の日といったキーワードが示すように、ハッシュタグは依然として特定のトピックやコミュニティを繋ぐための重要な「目印」として機能しています viralのような汎用的なタグではなく、 valorantや 僕ヤバのように、特定のコミュニティに響くタグを戦略的に使用することで、そのコミュニティ内での発見と会話を促進すべきです カフェ巡り|日本のinstagramにおける鉄板ライフスタイルコンテンツ。 東京カフェ おしゃれカフェ 梅雨コーデ|季節感のあるファッション投稿。レインブーツや撥水性のあるアウターなど、機能性とデザイン性を両立させたコーディネートが中心。雨の日の憂鬱さを払拭するような明るい投稿が好まれる カフェ巡り カフェ巡りは、単なるハッシュタグではなく、instagram上に確立された一つの文化です カフェを筆頭に、 東京カフェ（415万件）、 おしゃれカフェ（207万件）など、無数の関連タグが存在し、ユーザーはこれらのタグを辿って次に行くべきカフェを探しています 梅雨コーデ 梅雨コーデの投稿では、レインブーツや傘といったアイテムだけでなく、雨の日の湿った空気感や、少し物憂げな雰囲気といった「ムード」全体を写真や動画で表現することが求められます 紫陽花」といったフックとなる文章を添えます 父の日や 恋人の日といった先の季節イベントに対して、どのようなキャンペーンを仕掛けているかを観察し、アイデアのヒントを得ます 梅雨コーデが提案する実用性であれ、視聴者にとって「面白い」「役に立つ」「感動する」といった具体的な価値を提供するコンテンツは、アルゴリズムの変動を超えて支持され続けます",mk asmr,"ナルトダンス|中国発のダンスチャレンジ。当初の音源からmrs 告白チャレンジ|illitの日本デビュー曲「almond 薬屋のひとりごと」を付けた動画の総再生回数は16億回を超え、49,000本以上の動画が投稿されています ナルトダンス ナルトダンスは、トレンドが静的なものではなく、常に進化し続けることを示す好例です"
